#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Feb 28 21:02:24 EST 2018,0,0,Assignment3Suite, , ,BuildTest1- BuildTest2- BuildTest3- DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EfficiencyTest1- EverythingTest- GetMinTest1- GetMinTest2- GetMinTest3- InsertTest1- InsertTest2- InsertTest3- SizeTest1- SizeTest2- SizeTest3- SizeTest4- , ,
1,Wed Feb 28 21:02:31 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
2,Wed Feb 28 21:02:35 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
3,Wed Feb 28 21:02:56 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
4,Wed Feb 28 21:03:56 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
5,Wed Feb 28 21:04:13 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
6,Wed Feb 28 21:05:44 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
7,Wed Feb 28 21:06:22 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
8,Wed Feb 28 21:06:53 EST 2018,42,42,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ EfficiencyTest1+ GetMinTest2+ InsertTest1+ InsertTest2+ InsertTest3+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
9,Wed Feb 28 21:15:04 EST 2018,0,-42,Assignment3Suite, , ,BuildTest1- BuildTest2- BuildTest3- DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1- EverythingTest GetMinTest1 GetMinTest2- GetMinTest3 InsertTest1- InsertTest2- InsertTest3- SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
10,Wed Feb 28 21:15:09 EST 2018,0,0,Assignment3Suite, , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
11,Wed Feb 28 21:15:43 EST 2018,63,63,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ DelMinTest2+ DelMinTest3+ EfficiencyTest1+ GetMinTest1+ GetMinTest2+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest1 DelMinTest4 EverythingTest GetMinTest3 InsertTest1 InsertTest2 InsertTest3 , ,
12,Wed Feb 28 21:18:25 EST 2018,89,26,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4+ EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1- , ,
